대상시설명,위도,경도
연천초교,35.1862175,129.1004934
거성,35.18035457,129.0697833
부산교대부설초교,35.19569321,129.0770825
경상부속,35.18542909,129.1009549
연산,35.17826259,129.084127
고은,35.19860242,129.0764689
동성연천,35.18408872,129.1046149
브니엘,35.17976756,129.0800518
양지,35.17780666,129.0926401
이화,35.18058584,129.1062033
토현,35.18031087,129.110635
남문초교,35.1942359,129.0695568
동명초교병설,35.17817174,129.090835
연천초교병설,35.1862175,129.1004934
창신초교병설,35.19281042,129.0658511
글로잉,35.18836518,129.0912773
부산법원어린이집,35.19253531,129.0732651
연동초등학교병설유치원,35.18393246,129.0884679
LG메트로시티유치원,35.12726563,129.1090419
감만어린이집,35.11651323,129.0857069
개미유치원,35.130439,129.101248
계명유치원,35.12090972,129.113623
구화학교,35.134718,129.0798084
글로벌어린이집,35.12648437,129.107745
대남초등학교,35.14885685,129.0972482
대연어린이집,35.12187374,129.0894499
대연자연유치원,35.13988755,129.103525
대연초등학교,35.13723821,129.0922867
대천유치원,35.13088792,129.0990991
대천초등학교,35.12920185,129.1010318
동천초등학교,35.12161413,129.0831739
동항초등학교,35.114061,129.0829058
링구아어학원,35.13038328,129.093491
마루유치원,35.10997691,129.113439
메트로자연유치원,35.12689494,129.1096291
명문글로벌유치원,35.1463895,129.077963
무지개유치원,35.14172734,129.0890753
문현초등학교,35.14532445,129.0729385
문현초등학교 병설유치원,35.14532445,129.0729385
백운초등학교,35.11830794,129.105533
백합유치원,35.12651881,129.087229
부산대연유치원,35.141349,129.0785158
분포초등학교,35.12891344,129.113993
새부산어린이집,35.147664,129.096388
새부산유치원,35.15034371,129.0908799
색동유치원,35.12681463,129.0842804
샬롬어린이집,35.119315,129.0850719
석포초등학교,35.1265655,129.0918337
선화유치원,35.11178877,129.0829105
성광어린이집,35.1155457,129.1136662
성동초등학교,35.1438328,129.069115
성동초등학교 병설유치원,35.1438328,129.0691046
성신유치원,35.13644323,129.073162
성천초등학교,35.13082781,129.072206
솔유치원,35.114157,129.1160035
신연초등학교,35.129293,129.077937
양문어린이집,35.121056,129.087435
연포초등학교,35.13729666,129.0840869
연포초등학교 병설유치원,35.13729666,129.0840869
오륙도초등학교,35.104279,129.1161857
용당어린이집,35.113442,129.0930463
용당초등학교,35.11669795,129.0939473
용문초등학교,35.13067684,129.1081427
용산초등학교,35.11653828,129.1160696
용산초등학교 병설유치원,35.11653828,129.1160696
용소초등학교,35.14284837,129.0995005
용소초등학교 병설유치원,35.14284837,129.0995005
용호초등학교,35.12247969,129.108928
용호한빛어린이집,35.114961,129.112064
우암초등학교,35.12534261,129.0763806
우암초등학교 병설유치원,35.12534261,129.0763806
운산초등학교,35.11020526,129.1152259
은하유치원,35.134365,129.097802
키즈포레유치원,35.13056687,129.097632
해맑은유치원,35.1172753,129.1095652
혜남학교,35.141515,129.0822502
혜성학교,35.14183059,129.0801433
아인유치원,35.27291031,129.093639
아람유치원,35.25839737,129.088665
소심유치원,35.22181666,129.0944139
둥지유치원,35.21719056,129.1009082
동상초등학교,35.21130018,129.1069492
금성초등학교,35.25067682,129.0573705
동래초등학교,35.24710743,129.0984812
남산초등학교,35.26214086,129.0891827
금정초등학교,35.22802827,129.0848988
금양초등학교,35.241299,129.0920249
금샘초등학교,35.26905918,129.0838928
금사초등학교,35.21892107,129.1095928
금빛초등학교,35.22797727,129.080337
동백유치원,35.24216599,129.086996
대우유치원,35.23306339,129.0899786
꾸미랑유치원,35.2197578,129.091103
금양미래유치원,35.24056963,129.0923945
광명유치원,35.22986147,129.0749601
청룡초등학교병설유치원,35.272731,129.0917551
서명초등학교병설유치원,35.21516544,129.0946322
동래초교부속유치원,35.24710743,129.0984812
금사초등학교병설유치원,35.218913,129.109559
현곡초등학교,35.22641657,129.0949785
청룡초등학교,35.272731,129.0917551
