latitude,longitude
35.17410428,128.9785507
35.19004594,128.9864313
35.18270148,128.9919381
35.18270148,128.9919381
35.17907248,128.9892673
35.18311269,128.9912801
35.18522962,129.0018982
35.18523013,129.0018982
35.1844609,129.0013929
35.18571631,128.9952076
35.18494335,128.9978757
35.17393127,128.9860524
35.1748859,128.9897236
35.1739467,128.9925819
35.1739467,128.9925819
35.17410058,128.9915902
35.16761073,128.9828363
35.16761073,128.9828348
35.1674319,128.9816774
35.16018215,128.9857978
35.16617253,128.9778864
35.16797093,128.9784305
35.15574588,128.9886679
35.15574588,128.9886679
35.1578108,128.9820842
35.15783782,128.9820849
35.1586848,128.9832326
35.15761936,128.9810064
35.14606624,129.0121591
35.1291981,128.9743982
35.1291437,128.9734755
35.133048,128.9751453
35.12346124,128.9748128
35.12452472,128.9691928
35.1262195,128.9770668
35.14619209,128.9845724
35.13776229,128.9922143
35.1369017,128.9921913
35.13499189,128.993135
35.14713311,129.0055483
35.1465353,129.0040737
35.15368152,129.0121068
35.15391434,129.0014957
35.18174307,128.9787134
35.1463089,129.0096154
35.1299219,128.9721871
35.1438885,128.9902714
35.14905235,129.0084996
35.1547982,129.0157386
35.14905235,129.0084996
35.1872871,128.9926857
35.1264434,128.9706313
35.13941081,128.9788711
35.13871031,128.9802672
35.1406152,128.9799207
35.13729145,128.9791721
35.1255406,128.9698875
35.14779902,128.9990649
35.18091206,128.9852421
35.15761936,128.9810064
35.088587,128.994957
35.09070448,128.9996875
35.100464,129.003632
35.058683,128.967382
35.063766,128.9817993
35.0614437,128.9823045
35.106979,128.972764
35.10760057,128.976228
35.075733,128.9810851
35.079165,128.9679306
35.07849421,128.9615817
35.103943,128.9650945
35.05112342,128.9664633
35.06932612,128.9798387
35.0630016,128.9856791
35.05504897,128.963185
35.10548131,128.972348
35.09991519,128.9756921
35.10450283,128.9806235
35.0912092,128.9796992
35.09835611,128.9615995
35.08401561,128.9674324
35.09953083,128.960002
35.10072107,129.0036736
35.089977,129.0004764
35.08216968,128.9765357
35.07537835,128.9741005
35.10545869,128.9648641
35.1155457,128.9612457
