시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
유치원,감전샛별유치원,부산광역시 사상구 괘감로 77(괘법동),,35.1586848,128.9832326,부산광역시 사상구청,사상경찰서,Y,4,,2023-12-07
어린이집,성광어린이집,부산광역시 사상구 새벽시장로63번길 57 (감전동),,35.15761936,128.9810064,부산광역시 사상구청,사상경찰서,Y,4,,2023-12-07
초등학교,주학초등학교,부산광역시 사상구 가야대로366번길 120 (주례동),,35.14606624,129.0121591,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
초등학교,엄궁초등학교,부산광역시 사상구 엄궁로191번길 23 (엄궁동),,35.1291981,128.9743982,부산광역시 사상구청,사상경찰서,Y,6,,2023-12-07
유치원,가람유치원,부산광역시 사상구 엄궁로191번길 20 (엄궁동),,35.1291437,128.9734755,부산광역시 사상구청,사상경찰서,Y,6,,2023-12-07
초등학교,학진초등학교,부산광역시 사상구 대동로 34-16 (엄궁동),,35.133048,128.9751453,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
초등학교,동궁초등학교,부산광역시 사상구 엄궁로 70-7 (엄궁동),,35.12346124,128.9748128,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
유치원,엄궁한신유치원,부산광역시 사상구 엄궁로 40 (엄궁동),,35.12452472,128.9691928,부산광역시 사상구청,사상경찰서,Y,6,,2023-12-07
유치원,엄궁누리유치원,부산광역시 사상구 엄궁로 119 (엄궁동),,35.1262195,128.9770668,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
초등학교,학장초등학교,부산광역시 사상구 대동로 205 (학장동),,35.14619209,128.9845724,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
초등학교,구학초등학교,부산광역시 사상구 학감대로 49 (학장동),,35.13776229,128.9922143,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
유치원,으뜸유치원,부산광역시 사상구 학감대로49번길 28-7 (학장동),,35.1369017,128.9921913,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
유치원,사랑유치원,부산광역시 사상구 학감대로49번길 73 (학장동),,35.13499189,128.993135,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
초등학교,동주초등학교,부산광역시 사상구 가야대로306번길 72 (주례동),,35.14713311,129.0055483,부산광역시 사상구청,사상경찰서,Y,4,,2023-12-07
유치원,동성럭키유치원,부산광역시 사상구 주례로 114 (주례동),,35.1465353,129.0040737,부산광역시 사상구청,사상경찰서,Y,4,,2023-12-07
초등학교,주양초등학교,부산광역시 사상구 백양대로 372-6 (주례동),,35.15368152,129.0121068,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
초등학교,주감초등학교,부산광역시 사상구 양지로 48 (주례동),,35.15391434,129.0014957,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
특수학교,솔빛학교,부산광역시 사상구 삼덕로5번길 171 (삼락동),,35.18174307,128.9787134,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
유치원,경남정보대부속유치원,부산광역시 사상구 주례로 57 (주례동),,35.1463089,129.0096154,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
유치원,리라유치원,부산광역시 사상구 낙동대로 778-9 (엄궁동),,35.1299219,128.9721871,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
유치원,명성유치원,부산광역시 사상구 학장로216번길 3 (학장동),,35.1438885,128.9902714,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
유치원,무덕유치원,부산광역시 사상구 냉정로 78 (주례동),,35.14905235,129.0084996,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
유치원,버클리명문유치원,부산광역시 사상구 백양대로342번길 16 (주례동),,35.1547982,129.0157386,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
어린이집,아진어린이집,부산광역시 사상구 냉정로 78 (주례동),,35.14905235,129.0084996,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
유치원,벧엘유치원,부산광역시 사상구 백양대로902번길 42 (모라동),,35.1872871,128.9926857,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
유치원,"한빛유치원(구, 새한빛어린이집)",부산광역시 사상구 엄궁중로 20 (엄궁동),,35.1264434,128.9706313,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
어린이집,청솔어린이집,부산광역시 사상구 대동로107번길 9-3 (학장동),,35.13941081,128.9788711,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
유치원,부산유치원,부산광역시 사상구 대동로 110-13 (학장동),,35.13871031,128.9802672,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
유치원,노아유치원,부산광역시 사상구 대동로159번길 73 (학장동),,35.1406152,128.9799207,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
유치원,반도보라유치원,부산광역시 사상구 대동로 98 (학장동),,35.13729145,128.9791721,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
어린이집,엄궁한빛어린이집,부산광역시 사상구 엄궁남로 17 (엄궁동),,35.1255406,128.9698875,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
어린이집,주례고운어린이집,부산광역시 사상구 동주로 2-11 (주례동),,35.14779902,128.9990649,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
어린이집,한솔어린이집,부산광역시 사상구 모덕로 82 (덕포동),,35.18091206,128.9852421,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
유치원,성광유치원,부산광역시 사상구 새벽시장로63번길 57 (감전동),,35.15761936,128.9810064,부산광역시 사상구청,사상경찰서,Y,4,,2023-12-07
어린이집,이화어린이집,부산광역시 사하구 사하로 74-2(감천동),부산광역시 사하구 감천동 803-17,35.088587,128.994957,부산광역시 사하구청,사하경찰서,N,0,4,2023-07-01
어린이집,대지어린이집,부산광역시 사하구 감천로 67번길 2(감천동),부산광역시 사하구 감천동 636,35.09070448,128.9996875,부산광역시 사하구청,사하경찰서,N,0,4,2023-07-01
어린이집,진성어린이집,부산광역시 사하구 오작로88번길 32(괴정동),부산광역시 사하구 괴정동 352-36,35.100464,129.003632,부산광역시 사하구청,사하경찰서,N,0,10,2023-07-01
어린이집,다대포어린이집,부산광역시 사하구 윤공단로75번길 22(다대동),부산광역시 사하구 다대동 1030-3,35.058683,128.967382,부산광역시 사하구청,사하경찰서,N,0,4,2023-07-01
어린이집,다송어린이집,부산광역시 사하구 다대로429번길 25(다대동),부산광역시 사하구 다대동 120-28,35.063766,128.9817993,부산광역시 사하구청,사하경찰서,N,0,12,2023-07-01
유치원,바다유치원,부산광역시 사하구 다송로68번길 30(다대동),부산광역시 사하구 다대동 1577-1,35.0614437,128.9823045,부산광역시 사하구청,사하경찰서,Y,2,8,2023-07-01
어린이집,햇님어린이집,부산광역시 사하구 승학로 31번길 1(당리동),부산광역시 사하구 당리동 309-5,35.106979,128.972764,부산광역시 사하구청,사하경찰서,Y,1,8,2023-07-01
어린이집,아트센터어린이집,부산광역시 사하구 제석로 81(당리동),부산광역시 사하구 당리동 45,35.10760057,128.976228,부산광역시 사하구청,사하경찰서,N,0,9,2023-07-01
어린이집,YWCA어린이집,부산광역시 사하구 다대로 277번길 96(장림동),부산광역시 사하구 장림동 26-2,35.075733,128.9810851,부산광역시 사하구청,사하경찰서,N,0,7,2023-07-01
어린이집,장림(구 사하삼성)어린이집,부산광역시 사하구 장림번영로28번길 33(장림동),부산광역시 사하구 장림동 615-21,35.079165,128.9679306,부산광역시 사하구청,사하경찰서,N,0,6,2023-07-01
어린이집,무지개어린이집,부산광역시 사하구 하신중앙로3번길 34(장림동),부산광역시 사하구 장림동 971-3,35.07849421,128.9615817,부산광역시 사하구청,사하경찰서,N,0,6,2023-07-01
어린이집,하단어린이집,부산광역시 사하구 괴정로 6(하단동),부산광역시 사하구 하단동 608-14,35.103943,128.9650945,부산광역시 사하구청,사하경찰서,N,0,7,2023-07-01
초등학교,중현초등학교,부산광역시 사하구 다대낙조 2길 8(다대동),부산광역시 사하구 다대동 1550-4,35.05112342,128.9664633,부산광역시 사하구청,사하경찰서,N,0,14,2023-07-01
초등학교,다송초등학교,부산광역시 사하구 다대로 381번길 17(다대동),부산광역시 사하구 다대동 93,35.06932612,128.9798387,부산광역시 사하구청,사하경찰서,N,0,8,2023-07-01
초등학교,다선초등학교,부산광역시 사하구 다송로 57(다대동),부산광역시 사하구 다대동 3,35.0630016,128.9856791,부산광역시 사하구청,사하경찰서,N,0,8,2023-07-01
초등학교,몰운대초등학교,부산광역시 사하구 다대낙조 2길 110(다대동),부산광역시 사하구 다대동 1633,35.05504897,128.963185,부산광역시 사하구청,사하경찰서,N,0,10,2023-07-01
초등학교,낙동초등학교,부산광역시 사하구 제석로 41(당리동),부산광역시 사하구 당리동 313-6,35.10548131,128.972348,부산광역시 사하구청,사하경찰서,Y,1,7,2023-07-01
초등학교,당리초등학교,부산광역시 사하구 다대로 22번길 12(당리동),부산광역시 사하구 당리동 511,35.09991519,128.9756921,부산광역시 사하구청,사하경찰서,N,0,13,2023-07-01
초등학교,사동초등학교,부산광역시 사하구 승학로 129-2(당리동),부산광역시 사하구 당리동 467-6,35.10450283,128.9806235,부산광역시 사하구청,사하경찰서,N,0,6,2023-07-01
초등학교,신촌초등학교,부산광역시 사하구 다대로 135번길 34-2(신평동),부산광역시 사하구 신평동 39,35.0912092,128.9796992,부산광역시 사하구청,사하경찰서,Y,1,6,2023-07-01
초등학교,신남초등학교,부산광역시 사하구 비봉로 88(하단동),부산광역시 사하구 하단동 870-302,35.09835611,128.9615995,부산광역시 사하구청,사하경찰서,N,0,5,2023-07-01
초등학교,보림초등학교,부산광역시 사하구 장림로 161번길 20(장림동),부산광역시 사하구 장림동 1137,35.08401561,128.9674324,부산광역시 사하구청,사하경찰서,N,0,7,2023-07-01
유치원,하남초등학교 병설유치원,부산광역시 사하구 하신번영로 186(하단동),부산광역시 사하구 하단동 1181-25,35.09953083,128.960002,부산광역시 사하구청,사하경찰서,N,0,5,2023-07-01
특수학교,부산천사의학교,부산광역시 사하구 오작로88번길 30(괴정동),부산광역시 사하구 괴정동 352-116,35.10072107,129.0036736,부산광역시 사하구청,사하경찰서,N,0,8,2023-07-01
어린이집,감천파랑새어린이집,부산광역시 사하구 감천로73번길 8(감천동),부산광역시 사하구 감천동 500-102,35.089977,129.0004764,부산광역시 사하구청,사하경찰서,N,0,6,2023-07-01
초등학교,장림초등학교,부산광역시 사하구 장림번영로 103번길 10(장림동),부산광역시 사하구 장림동 182,35.08216968,128.9765357,부산광역시 사하구청,사하경찰서,N,0,11,2023-07-01
초등학교,효림초등학교,부산광역시 사하구 장평로 106(장림동),부산광역시 사하구 장림동 394,35.07537835,128.9741005,부산광역시 사하구청,사하경찰서,N,0,16,2023-07-01
초등학교,하단초등학교,부산광역시 사하구 하신중앙로 321(하단동),부산광역시 사하구 하단동 593-1,35.10545869,128.9648641,부산광역시 사하구청,사하경찰서,N,0,8,2023-07-01
초등학교,을숙도초등학교,부산광역시 사하구 낙동대로 581(하단동),부산광역시 사하구 하단동 1217-2,35.1155457,128.9612457,부산광역시 사하구청,사하경찰서,N,0,15,2023-07-01
초등학교,신평초등학교,부산광역시 사하구 장평로 299번 안길 19(신평동),부산광역시 사하구 신평동 226,35.09434158,128.9715269,부산광역시 사하구청,사하경찰서,N,0,6,2023-07-01
유치원,한빛유치원,부산광역시 사하구 감천로 182(감천동),부산광역시 사하구 감천동 199-2,35.08351404,129.0089995,부산광역시 사하구청,사하경찰서,N,0,7,2023-07-01
유치원,제일성관유치원,부산광역시 사하구 옥천로88번길 20(감천동),부산광역시 사하구 감천동 12-108,35.09400666,129.0107523,부산광역시 사하구청,사하경찰서,N,0,8,2023-07-01
초등학교,감천초등학교,부산광역시 사하구 원양로 368-2(감천동),부산광역시 사하구 감천동 212,35.08257432,129.0071938,부산광역시 사하구청,사하경찰서,Y,1,6,2023-07-01
초등학교,서천초등학교,부산광역시 사하구 감천로 105번길 10(감천동),부산광역시 사하구 감천동 506-1,35.08874312,129.0038585,부산광역시 사하구청,사하경찰서,N,0,3,2023-07-01
초등학교,옥천초등학교,부산광역시 사하구 사하로 134(감천동),부산광역시 사하구 감천동 824,35.09388531,128.9936908,부산광역시 사하구청,사하경찰서,Y,2,16,2023-07-01
초등학교,사하초등학교,부산광역시 사하구 낙동대로 266(괴정동),부산광역시 사하구 괴정동 775,35.09991222,128.9868987,부산광역시 사하구청,사하경찰서,N,0,9,2023-07-01
초등학교,괴정초등학교,부산광역시 사하구 낙동대로 152(괴정동),부산광역시 사하구 괴정동 230,35.10376327,128.9997565,부산광역시 사하구청,사하경찰서,N,0,8,2023-07-01
초등학교,승학초등학교,부산광역시 사하구 낙동대로 135번길 55(괴정동),부산광역시 사하구 괴정동 354-111,35.10214411,129.0032874,부산광역시 사하구청,사하경찰서,N,0,8,2023-07-01
초등학교,사남초등학교,부산광역시 사하구 장평로 390(괴정동),부산광역시 사하구 괴정동 1206-9,35.096081,128.9830509,부산광역시 사하구청,사하경찰서,Y,1,11,2023-07-01
초등학교,구평초등학교,부산광역시 사하구 사하로 9(구평동),부산광역시 사하구 구평동 24-19,35.08661915,128.9890232,부산광역시 사하구청,사하경찰서,N,0,15,2023-07-01
초등학교,다대초등학교,부산광역시 사하구 다대로 499(다대동),부산광역시 사하구 다대동 270,35.05968084,128.9757961,부산광역시 사하구청,사하경찰서,N,0,4,2023-07-01
초등학교,응봉초등학교,부산광역시 사하구 다대낙조2길 26(다대동),부산광역시 사하구 다대동 1549-4,35.05283988,128.9650929,부산광역시 사하구청,사하경찰서,N,0,11,2023-07-01
유치원,꿈동산유치원,부산광역시 사하구 승학로 239번길 1(괴정동),부산광역시 사하구 괴정동 1051-10,35.10259425,128.990489,부산광역시 사하구청,사하경찰서,N,0,5,2023-07-01
유치원,즐거운루다(구 아하)유치원,부산광역시 사하구 대티로 49(괴정동),부산광역시 사하구 괴정동 196-5,35.10611666,129.004592,부산광역시 사하구청,사하경찰서,N,0,9,2023-07-01
초등학교,하남초등학교,부산광역시 사하구 하신번영로 186(하단동),부산광역시 사하구 하단동 1181-25,35.09953083,128.960002,부산광역시 사하구청,사하경찰서,N,0,5,2023-07-01
유치원,동주대학부속유치원,부산광역시 사하구 사리로55번길 13(괴정동),부산광역시 사하구 괴정동 240-1,35.105138,128.997484,부산광역시 사하구청,사하경찰서,N,0,7,2023-07-01
유치원,햇살내리는유치원,부산광역시 사하구 승학로 179-1(괴정동),부산광역시 사하구 괴정동 764-168,35.100942,128.9852037,부산광역시 사하구청,사하경찰서,N,0,9,2023-07-01
유치원,하늘꽃유치원,부산광역시 사하구 다대낙조2길 70(다대동),부산광역시 사하구 다대동 1549,35.05210597,128.9611166,부산광역시 사하구청,사하경찰서,N,0,12,2023-07-01
유치원,호산나유치원,부산광역시 사하구 다대로 595(다대동),부산광역시 사하구 다대동 621-1,35.05340405,128.9711997,부산광역시 사하구청,사하경찰서,N,0,8,2023-07-01
유치원,롯데캐슬유치원,부산광역시 사하구 다대낙조2길 3(다대동),부산광역시 사하구 다대동 1630,35.05039058,128.9658627,부산광역시 사하구청,사하경찰서,N,0,8,2023-07-01
유치원,블루롯데(구 로뎀)유치원,부산광역시 사하구 다송로 13-3(다대동),부산광역시 사하구 다대동 86-4,35.066199,128.981792,부산광역시 사하구청,사하경찰서,N,0,7,2023-07-01
유치원,큰별삼환유치원,부산광역시 사하구 다대로429번길 20(다대동),부산광역시 사하구 다대동 120-10,35.0617594,128.9816244,부산광역시 사하구청,사하경찰서,N,0,12,2023-07-01
유치원,큰별숲유치원,부산광역시 사하구 다대로 473(다대동),부산광역시 사하구 다대동 120-1,35.06147996,128.9793116,부산광역시 사하구청,사하경찰서,N,0,4,2023-07-01
유치원,봄봄유치원,부산광역시 사하구 다대로 438(다대동),부산광역시 사하구 다대동 113-10,35.063874,128.978636,부산광역시 사하구청,사하경찰서,N,0,4,2023-07-01
유치원,푸르네유치원,부산광역시 사하구 윤공단로 124(다대동),부산광역시 사하구 다대동 927-1,35.06141862,128.972418,부산광역시 사하구청,사하경찰서,N,0,13,2023-07-01
어린이집,풀잎어린이집,부산광역시 사하구 승학로 80(당리동),부산광역시 사하구 당리동 320-4,35.103966,128.9764389,부산광역시 사하구청,사하경찰서,N,0,7,2023-07-01
유치원,참사랑유치원,부산광역시 사하구 다대로 52(괴정동),부산광역시 사하구 당리동 540-3,35.097899,128.9772561,부산광역시 사하구청,사하경찰서,N,0,24,2023-07-01
유치원,호돌유치원,부산광역시 사하구 제석로95번길 99(당리동),부산광역시 사하구 당리동 39-9,35.11089794,128.9757467,부산광역시 사하구청,사하경찰서,N,0,6,2023-07-01
유치원,봉우리유치원,부산광역시 사하구 신산북로43번길 55(신평동),부산광역시 사하구 신평동 214,35.09292664,128.970746,부산광역시 사하구청,사하경찰서,N,0,4,2023-07-01
유치원,신익유치원,부산광역시 사하구 비봉로 36(신평동),부산광역시 사하구 신평동 409-13,35.097261,128.9649993,부산광역시 사하구청,사하경찰서,N,0,11,2023-07-01
유치원,하늘유치원,부산광역시 사하구 하신중앙로 170(신평동),부산광역시 사하구 신평동 400,35.09384639,128.9642827,부산광역시 사하구청,사하경찰서,N,0,14,2023-07-01
유치원,지산유치원,부산광역시 사하구 장평로 117-4(장림동),부산광역시 사하구 장림동 597,35.076235,128.972297,부산광역시 사하구청,사하경찰서,N,0,16,2023-07-01
유치원,한림가락유치원,부산광역시 사하구 하신중앙로 265(하단동),부산광역시 사하구 하단동 1176,35.09992771,128.9584854,부산광역시 사하구청,사하경찰서,N,0,8,2023-07-01
유치원,미엘(구 가락강변)유치원,부산광역시 사하구 하신번영로 365(하단동),부산광역시 사하구 하단동 1161-2,35.11029776,128.9585361,부산광역시 사하구청,사하경찰서,N,0,12,2023-07-01
유치원,길메리유치원,부산광역시 사하구 하신번영로328번길 26(하단동),부산광역시 사하구 하단동 503-6,35.10964924,128.9607447,부산광역시 사하구청,사하경찰서,N,0,9,2023-07-01
유치원,햇빛유치원,부산광역시 사하구 승학로229번길 11(괴정동),부산광역시 사하구 괴정동 1066-1,35.10190831,128.989324,부산광역시 사하구청,사하경찰서,N,0,6,2023-07-01
유치원,우리아이유치원,부산광역시 사하구 다대로 277번길 132,부산광역시 사하구 장림동 12,35.076051,128.9831998,부산광역시 사하구청,사하경찰서,N,0,8,2023-07-01
유치원,꿈누리유치원,부산광역시 사하구 두송로 26번길 62(장림동),부산광역시 사하구 장림동 24,35.07658886,128.9801107,부산광역시 사하구청,사하경찰서,N,0,8,2023-07-01
유치원,메이플유치원,부산광역시 사하구 윤공단로 17번길 83,부산광역시 사하구 다대동 1551-21,35.05531879,128.9660554,부산광역시 사하구청,사하경찰서,N,0,6,2023-07-01
유치원,장림초등학교 병설유치원,부산광역시 사하구 장림번영로 103번길 10(장림동),부산광역시 사하구 장림동 182,35.08216968,128.9765357,부산광역시 사하구청,사하경찰서,N,0,11,2023-07-01
유치원,감천초등학교 병설유치원,부산광역시 사하구 원양로 368-2(감천동),부산광역시 사하구 감천동 203,35.08257432,129.0071938,부산광역시 사하구청,사하경찰서,N,0,6,2023-07-01
유치원,다송초등학교 병설유치원,부산광역시 사하구 다대로 381번길 17(다대동),부산광역시 사하구 다대동 93,35.06932612,128.9798387,부산광역시 사하구청,사하경찰서,N,0,8,2023-07-01
유치원,몰운대초등학교 병설유치원,부산광역시 사하구 다대낙조 2길 110(다대동),부산광역시 사하구 다대동 1633,35.05504897,128.963185,부산광역시 사하구청,사하경찰서,N,0,10,2023-07-01
유치원,사동초등학교 병설유치원,부산광역시 사하구 승학로 129-2(당리동),부산광역시 사하구 당리동 467-6,35.10450283,128.9806235,부산광역시 사하구청,사하경찰서,N,0,6,2023-07-01
어린이집,효원어린이집,부산광역시 사하구 괴정로 267(괴정동),부산광역시 사하구 괴정동531-11,35.09704086,128.990576,부산광역시 사하구청,사하경찰서,N,0,6,2023-07-01
유치원,하단초등학교병설유치원,부산광역시 사하구 하신중앙로 321(하단동),부산광역시 사하구 하단동 593-1,35.10545869,128.9648641,부산광역시 사하구청,사하경찰서,Y,11,8,2023-07-01
유치원,신촌초등학교병설유치원,부산광역시 사하구 다대로135번길 34-2(신평동),부산광역시 사하구 신평동 45-4,35.0912092,128.9796992,부산광역시 사하구청,사하경찰서,Y,6,6,2023-07-01
유치원,옥천초등학교병설유치원,부산광역시 사하구 사하로 134(괴정동),부산광역시 사하구 감천동 824,35.09388531,128.9936908,부산광역시 사하구청,사하경찰서,Y,2,16,2023-07-01
어린이집,태양,부산광역시 연제구 고분로248번길55,부산광역시 연제구 연산동486-29(태양어린이집),35.18200582,129.109424,부산광역시 연제구청,연제경찰서,N,,8,2023-06-26
특수학교,동암학교,부산광역시 연제구 톳고개로50,부산광역시 연제구 연산동10-51,35.18098633,129.1018281,부산광역시 연제구청,연제경찰서,N,,9,2023-06-26
유치원,과정,부산광역시 연제구 좌수영로291,부산광역시 연제구 연산동149-11(부산제일교회),35.1876157,129.1102404,부산광역시 연제구청,연제경찰서,N,1,6,2023-06-26
어린이집,소담,부산광역시 연제구 배산북로22,부산광역시 연제구 연산동2129-13,35.17555859,129.0939934,부산광역시 연제구청,연제경찰서,Y,3,6,2023-06-26
어린이집,하나둘,부산광역시 연제구 여고로14번길47,부산광역시 연제구 거제동894-13,35.19281527,129.0663233,부산광역시 연제구청,연제경찰서,N,,6,2023-06-26
초등학교,연동초교,부산광역시 연제구 고분로56번길40,부산광역시 연제구 연산동799(연동초등학교),35.18393352,129.0884693,부산광역시 연제구청,연제경찰서,Y,2,8,2023-06-26
초등학교,연신초교,부산광역시 연제구 신금로23번길30,부산광역시 연제구 연산동302-1(연신초등학교),35.19248197,129.0931582,부산광역시 연제구청,연제경찰서,Y,1,10,2023-06-26
초등학교,거제초교,부산광역시 연제구 해맞이로39,부산광역시 연제구 거제동676-152(거제초등학교),35.1780756,129.0675687,부산광역시 연제구청,연제경찰서,N,,10,2023-06-26
유치원,거제초교병설,부산광역시 연제구 해맞이로39,부산광역시 연제구 거제동676-152(거제초등학교),35.1780756,129.0675687,부산광역시 연제구청,연제경찰서,N,,10,2023-06-26
초등학교,창신초교,부산광역시 연제구 종합운동장로12번길15,부산광역시 연제구 거제동897-3(창신초등학교),35.19281042,129.0658511,부산광역시 연제구청,연제경찰서,N,3,10,2023-06-26
초등학교,과정초교,부산광역시 연제구 과정로164번길37,부산광역시 연제구 연산동473-1(과정초등학교),35.18673135,129.1103491,부산광역시 연제구청,연제경찰서,N,1,8,2023-06-26
초등학교,연미초교,부산광역시 연제구 금련로38번길84,부산광역시 연제구 연산동1824-60(연미초등학교),35.17070845,129.0921169,부산광역시 연제구청,연제경찰서,N,1,5,2023-06-26
초등학교,연일초교,부산광역시 연제구 고분로126-4,부산광역시 연제구 연산동1016(연일초등학교),35.18431629,129.0954502,부산광역시 연제구청,연제경찰서,Y,2,8,2023-06-26
특수학교,두레학교,부산광역시 연제구 고분로123번길13-7,부산광역시 연제구 연산동1030-1(부산두레학교),35.18680312,129.0959557,부산광역시 연제구청,연제경찰서,N,,5,2023-06-26
